year,artist,track,length,genre,first_apperence,highest_data,weeks_active,number_1_weeks
2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,28,11.0
2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,26,10.0
2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,33,4.0
2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,24,4.0
2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,21,4.0
2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,24,3.0
2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,32,3.0
2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,20,3.0
2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,26,2.0
2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,55,2.0
2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,25,2.0
2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,24,2.0
2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,41,2.0
2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,47,2.0
2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,32,2.0
2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,39,2.0
2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,20,2.0
2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,53,0.0
2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,30,0.0
2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,28,0.0
2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,37,0.0
2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,32,0.0
2000,98ยก,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,20,0.0
2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,32,0.0
2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,53,0.0
2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,28,0.0
2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,22,0.0
2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,28,0.0
2000,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,44,0.0
2000,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999-10-23,2000-02-12,32,0.0
2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,23,0.0
2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,19,0.0
2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,27,0.0
2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,22,0.0
2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,29,0.0
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,21,0.0
2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,27,0.0
2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,26,0.0
2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,26,0.0
2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,24,0.0
2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,27,0.0
2000,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,28,0.0
2000,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,23,0.0
2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,20,0.0
2000,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,20,0.0
2000,Pink,There U Go,3:23,Rock,2000-03-04,2000-04-08,32,0.0
2000,Creed,Higher,5:16,Rock,1999-09-11,2000-07-22,57,0.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,34,0.0
2000,Next,Wifey,4:03,Rock,2000-05-27,2000-09-09,21,0.0
2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999-12-25,2000-01-08,5,0.0
2000,Sonique,It Feels So Good,3:48,Rock,2000-01-22,2000-04-22,24,0.0
2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,20,0.0
2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,20,0.0
2000,Everclear,Wonderful,4:30,Rock,2000-07-08,2000-09-30,21,0.0
2000,Ja Rule,Between Me And You,4:05,Rap,2000-09-16,2000-11-18,20,0.0
2000,"Rimes, LeAnn",I Need You,3:42,Country,2000-05-27,2000-08-12,25,0.0
2000,Smash Mouth,Then The Morning Comes,3:04,Rock,1999-10-30,2000-01-29,26,0.0
2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,2000-10-28,2000-12-30,21,0.0
2000,Jagged Edge,Let's Get Married,4:23,Rock,2000-05-06,2000-07-29,24,0.0
2000,Filter,Take A Picture,4:23,Rock,1999-11-27,2000-02-05,20,0.0
2000,"Martin, Ricky",She Bangs,4:02,Latin,2000-10-07,2000-12-02,18,0.0
2000,Mystikal,Shake Ya Ass,4:46,Rap,2000-08-12,2000-10-28,20,0.0
2000,BBMak,Back Here,3:35,Rock,2000-04-29,2000-07-29,31,0.0
2000,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,2000-01-29,2000-02-26,20,0.0
2000,Third Eye Blind,Never Let You Go,3:57,Rock,2000-01-22,2000-04-01,22,0.0
2000,Red Hot Chili Peppers,Otherside,4:13,Rock,2000-02-12,2000-05-27,22,0.0
2000,Profyle,Liar,3:57,R&B,2000-09-16,2000-10-28,20,0.0
2000,Barenaked Ladies,Pinch Me,3:46,Rock,2000-09-09,2000-11-25,21,0.0
2000,Jagged Edge,He Can't Love U,3:30,Rock,1999-12-11,2000-01-08,20,0.0
2000,504 Boyz,Wobble Wobble,3:35,Rap,2000-04-15,2000-05-06,18,0.0
2000,Sting,Desert Rose,3:52,Rock,2000-05-13,2000-08-26,26,0.0
2000,Jay-Z,Big Pimpin',3:55,Rap,2000-04-22,2000-07-08,20,0.0
2000,Kid Rock,Only God Knows Why,5:27,Rock,2000-02-19,2000-04-15,20,0.0
2000,Foo Fighters,Learn To Fly,3:55,Rock,1999-10-16,2000-01-22,21,0.0
2000,"Dixie Chicks, The",Goodbye Earl,4:19,Country,2000-03-18,2000-05-06,15,0.0
2000,Guy,Dancin',4:08,R&B,1999-12-18,2000-01-01,11,0.0
2000,Lil Bow Wow,Bounce With Me,3:22,Rap,2000-08-19,2000-09-16,20,0.0
2000,Westlife,Swear It Again,4:07,Rock,2000-04-01,2000-07-01,20,0.0
2000,Train,Meet Virginia,3:55,Rock,1999-10-09,2000-01-22,27,0.0
2000,"Thomas, Carl",I Wish,3:50,Rock,2000-03-25,2000-05-13,20,0.0
2000,Hanson,This Time Around,4:14,Country,2000-04-22,2000-05-06,7,0.0
2000,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,2000-07-01,2000-08-12,16,0.0
2000,Ludacris,What's Your Fantasy,4:16,Rap,2000-09-30,2000-12-16,22,0.0
2000,Lil' Zane,Callin' Me,3:43,Rap,2000-07-29,2000-09-02,13,0.0
2000,M2M,Don't Say You Love Me,3:41,Pop,1999-11-20,2000-01-08,12,0.0
2000,SoulDecision,Faded,3:25,Rock,2000-07-08,2000-09-09,24,0.0
2000,"Brock, Chad",Yes!,3:22,Country,2000-04-08,2000-07-01,20,0.0
2000,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,1999-11-20,2000-02-12,18,0.0
2000,Vertical Horizon,You're A God,3:45,Rock,2000-08-26,2000-11-04,21,0.0
2000,Avant,Separated,4:13,Rock,2000-04-29,2000-05-20,20,0.0
2000,"Rimes, LeAnn",Big Deal,3:03,Country,1999-10-16,2000-01-01,20,0.0
2000,IMx,Stay The Night,3:37,Rap,1999-10-09,2000-01-08,20,0.0
2000,Dr. Dre,The Next Episode,2:38,Rap,2000-05-27,2000-07-29,20,0.0
2000,"Spears, Britney",Lucky,3:23,Rock,2000-08-12,2000-09-09,11,0.0
2000,Savage Garden,Crash And Burn,4:41,Rock,2000-04-08,2000-05-27,20,0.0
2000,Kandi,Don't Think I'm Not,3:50,Rock,2000-08-05,2000-10-07,24,0.0
2000,Sammie,I Like It,4:09,Rock,2000-01-29,2000-04-15,20,0.0
2000,Goo Goo Dolls,Broadway,3:54,Rock,2000-04-22,2000-07-01,20,0.0
2000,"Moore, Mandy",I Wanna Be With You,4:12,Pop,2000-06-17,2000-08-12,23,0.0
2000,Dr. Dre,Forgot About Dre,3:42,Rap,2000-01-22,2000-03-25,20,0.0
2000,D'Angelo,Untitled (How Does It Feel),7:10,R&B,2000-01-22,2000-02-19,17,0.0
2000,"Messina, Jo Dee",That's The Way,3:17,Country,2000-06-24,2000-08-26,20,0.0
2000,Avant,My First Love,4:28,Rock,2000-11-04,2000-12-16,20,0.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,2000-08-19,26,0.0
2000,Da Brat,What'Chu Like,3:57,Rap,2000-06-03,2000-08-12,20,0.0
2000,DMX,Party Up (Up In Here),3:45,Rap,2000-02-26,2000-04-22,21,0.0
2000,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country,1999-11-27,2000-01-29,20,0.0
2000,"McGraw, Tim",My Next Thirty Years,3:37,Country,2000-10-21,2000-12-16,20,0.0
2000,"Tritt, Travis",Best Of Intentions,4:15,Country,2000-08-19,2000-12-02,22,0.0
2000,Alice Deejay,Better Off Alone,6:50,Electronica,2000-04-08,2000-06-03,20,0.0
2000,Hoku,Another Dumb Blonde,3:47,Pop,2000-02-19,2000-04-08,14,0.0
2000,"Houston, Whitney",I Learned From The Best,4:18,Rock,2000-02-19,2000-03-25,11,0.0
2000,Counting Crows,Hanginaround,4:07,Rock,1999-11-06,2000-01-29,20,0.0
2000,Mary Mary,Shackles (Praise You),3:12,Rock,2000-03-25,2000-05-13,20,0.0
2000,"Carey, Mariah",Crybaby,5:19,Rock,2000-06-24,2000-06-24,7,0.0
2000,"McGraw, Tim",My Best Friend,4:33,Country,1999-11-27,2000-01-29,21,0.0
2000,Sugar Ray,Falls Apart,4:15,Rock,2000-01-15,2000-02-19,20,0.0
2000,Madonna,American Pie,4:30,Rock,2000-02-19,2000-03-04,9,0.0
2000,"Jones, Donell",Where I Wanna Be,6:22,Rock,2000-04-22,2000-07-08,20,0.0
2000,"Paisley, Brad",We Danced,3:45,Country,2000-10-14,2000-12-16,20,0.0
2000,Lonestar,What About Now,3:30,Country,2000-06-10,2000-08-19,20,0.0
2000,"Backstreet Boys, The",The One,3:46,Rock,2000-05-27,2000-07-01,15,0.0
2000,"Keith, Toby",How Do You Like Me Now?!,3:29,Country,2000-01-29,2000-04-08,20,0.0
2000,"Strait, George",The Best Day,3:24,Country,2000-01-29,2000-04-22,20,0.0
2000,"Dixie Chicks, The",Without You,3:32,Country,2000-10-07,2000-12-23,20,0.0
2000,Musiq,Just Friends (Sunny),4:02,Rap,2000-10-14,2000-12-30,20,0.0
2000,"McEntire, Reba",What Do You Say,3:26,Country,1999-10-30,2000-01-29,20,0.0
2000,"Braxton, Toni",Just Be A Man About It,4:10,Rock,2000-07-29,2000-09-02,20,0.0
2000,"Iglesias, Enrique",Rhythm Divine,7:35,Latin,1999-12-04,2000-01-22,17,0.0
2000,"Fabian, Lara",I Will Love Again,3:43,Pop,2000-06-10,2000-08-12,17,0.0
2000,Bon Jovi,It's My Life,3:44,Rock,2000-08-12,2000-09-30,20,0.0
2000,"Evans, Sara",Born To Fly,5:36,Country,2000-10-21,2000-12-30,20,0.0
2000,"Chesney, Kenny",I Lost It,3:54,Country,2000-10-21,2000-12-23,20,0.0
2000,J-Shin,One Night Stand,4:34,R&B,1999-12-25,2000-02-26,17,0.0
2000,Eve,Love Is Blind,3:51,Rap,2000-01-08,2000-02-19,16,0.0
2000,Aaliyah,I Don't Wanna,4:15,Rock,2000-01-29,2000-03-04,20,0.0
2000,"Montgomery, John Michael",The Little Girl,3:52,Country,2000-09-09,2000-10-28,20,0.0
2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,2000-08-26,2000-09-16,15,0.0
2000,"Vassar, Phil",Just Another Day In Paradise,3:54,Country,2000-09-30,2000-12-02,20,0.0
2000,Ice Cube,You Can Do It,4:20,Rap,1999-12-04,2000-01-15,12,0.0
2000,"Wills, Mark",Back At One,4:00,Country,2000-01-15,2000-02-26,18,0.0
2000,Lucy Pearl,Dance Tonight,3:45,R&B,2000-05-20,2000-07-29,19,0.0
2000,"Jackson, Alan",It Must Be Love,2:53,Country,2000-06-24,2000-09-02,20,0.0
2000,"Griggs, Andy",She's More,3:19,Country,2000-03-11,2000-06-10,20,0.0
2000,No Doubt,Simple Kind Of Life,4:11,Rock,2000-07-01,2000-07-22,13,0.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,19,0.0
2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,2000-05-06,2000-08-12,20,0.0
2000,Vitamin C,Graduation (Friends Forever),4:23,Rock,2000-04-15,2000-06-10,12,0.0
2000,"Gilman, Billy",One Voice,4:07,Country,2000-06-17,2000-09-02,19,0.0
2000,Lonestar,Smile,3:33,Country,1999-12-18,2000-02-12,20,0.0
2000,"Rogers, Kenny",Buy Me A Rose,3:46,Country,2000-03-11,2000-05-06,20,0.0
2000,"Lawrence, Tracy",Lessons Learned,2:55,Country,2000-01-29,2000-04-08,20,0.0
2000,"Strait, George",Go On,3:48,Country,2000-08-26,2000-10-28,20,0.0
2000,Sisqo,Got To Get It,3:52,Rock,1999-11-20,2000-01-22,20,0.0
2000,Baha Men,Who Let The Dogs Out,3:17,R&B,2000-07-22,2000-10-21,20,0.0
2000,"Walker, Clay",The Chain Of Love,5:03,Country,2000-04-15,2000-06-10,20,0.0
2000,"McBride, Martina",Love's The Only House,5:13,Country,2000-02-05,2000-04-15,20,0.0
